City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
gambela,8.25,34.58,67.33,92,24,3.67,ET,1598495356
lata,40.16,-8.33,69.01,95,42,1.01,PT,1598495357
tagusao,9.19,117.81,85.87,64,52,1.54,PH,1598495357
north bend,43.41,-124.22,71.01,87,90,23.04,US,1598495357
nizhniy tsasuchey,50.52,115.13,63.16,64,53,11.72,RU,1598495357
aksarka,66.56,67.8,53.87,90,2,5.93,RU,1598495358
moindou,-21.69,165.68,75.2,50,4,19.46,NC,1598495358
sao raimundo nonato,-9.02,-42.7,78.06,47,83,3.15,BR,1598495359
isla mujeres,21.23,-86.73,84.0,78,75,4.7,MX,1598495359
oistins,13.07,-59.53,80.6,88,75,8.05,BB,1598495192
schattdorf,46.87,8.65,59.0,77,72,3.36,CH,1598495359
vyartsilya,62.18,30.69,45.81,90,8,3.89,RU,1598495360
coro,11.4,-69.67,80.91,80,75,14.52,VE,1598495360
kaeo,-35.1,173.78,60.01,34,4,8.01,NZ,1598495360
deder,9.32,41.45,55.74,98,90,5.44,ET,1598495361
takoradi,4.88,-1.76,73.58,92,45,5.93,GH,1598495361
gondar,12.6,37.47,57.78,87,95,2.26,ET,1598495361
bud,39.45,-86.18,80.01,87,8,6.91,US,1598495362
dunedin,-45.87,170.5,48.0,81,100,3.0,NZ,1598495362
balkanabat,39.51,54.37,69.96,28,0,6.69,TM,1598495362
kiunga,-6.12,141.29,82.15,75,86,3.65,PG,1598495363
hudiksvall,61.73,17.1,45.0,93,1,6.67,SE,1598495363
labytnangi,66.66,66.42,54.88,82,0,1.39,RU,1598495363
kibala,9.11,18.35,71.46,95,82,2.13,TD,1598495363
bonthe,7.53,-12.51,75.54,90,26,8.23,SL,1598495364
key west,24.56,-81.78,87.8,70,1,14.99,US,1598495364
hami,42.8,93.45,73.74,20,0,5.7,CN,1598495364
wewak,-3.55,143.63,84.76,70,66,7.92,PG,1598495364
akyab,20.15,92.9,80.71,84,100,7.4,MM,1598495364
okha,53.57,142.95,55.27,76,90,6.67,RU,1598495365
terrace bay,48.78,-87.1,60.6,98,100,7.0,CA,1598495365
severo-yeniseyskiy,60.37,93.04,54.41,89,0,4.76,RU,1598495365
arrifes,37.77,-25.7,75.2,94,75,10.29,PT,1598495365
tongliao,43.61,122.27,66.67,91,100,21.21,CN,1598495366
korla,41.76,86.15,77.0,76,83,20.11,CN,1598495366
mae sai,20.43,99.88,86.0,78,20,4.7,TH,1598495100
santa barbara,34.42,-119.7,75.99,73,1,8.05,US,1598495298
bac lieu,9.29,105.72,85.66,71,91,12.88,VN,1598495367
chulym,55.1,80.96,56.62,93,62,4.03,RU,1598495367
aguimes,27.91,-15.45,78.8,78,8,16.11,ES,1598495367
dubbo,-32.25,148.62,60.8,51,0,6.93,AU,1598495367
pisco,-13.7,-76.22,62.6,82,90,10.29,PE,1598495368
taseyevo,57.22,94.9,57.6,82,64,3.29,RU,1598495368
aleppo,36.25,37.5,69.51,91,0,14.47,SY,1598495368
touros,-5.2,-35.46,73.4,88,40,4.7,BR,1598495368
mufulira,-12.55,28.24,61.7,58,100,4.32,ZM,1598495369
nishihara,26.18,127.76,84.2,78,90,12.75,JP,1598495369
esperance,-33.87,121.9,62.6,77,0,9.17,AU,1598495369
upata,8.01,-62.4,75.99,93,100,1.99,VE,1598495370
altay,47.87,88.12,62.53,35,53,0.83,CN,1598495370
bambous virieux,-20.34,57.76,66.99,93,75,9.17,MU,1598495370
jinsha,32.09,121.07,84.99,50,79,8.75,CN,1598495370
enterprise,36.03,-115.24,102.99,11,20,10.29,US,1598495371
huangmei,30.19,116.03,84.69,67,0,2.19,CN,1598495371
svetlogorsk,52.63,29.73,58.48,97,100,11.3,BY,1598495371
giyani,-23.3,30.72,57.92,70,5,9.01,ZA,1598495371
kenai,60.55,-151.26,54.0,87,90,3.36,US,1598495372
hornepayne,49.21,-84.77,54.12,95,100,8.03,CA,1598495372
baykit,61.67,96.37,58.17,61,98,3.06,RU,1598495372
asfi,32.3,-9.24,82.2,40,37,6.38,MA,1598495372
pechora,65.15,57.22,50.85,91,100,11.23,RU,1598495373
rossano,39.58,16.63,73.99,62,0,1.01,IT,1598495373
arandis,-22.42,14.97,57.0,88,0,3.36,NA,1598495373
berlevag,70.86,29.09,46.09,81,94,6.67,NO,1598495374
nome,64.5,-165.41,60.01,72,75,9.17,US,1598495191
torres,-29.34,-49.73,60.19,86,4,8.05,BR,1598495374
katsuura,35.13,140.3,91.0,66,75,10.29,JP,1598495374
kieta,-6.22,155.63,84.51,74,39,5.68,PG,1598495374
bilibino,68.05,166.44,41.68,87,100,3.27,RU,1598495375
mount gambier,-37.83,140.77,59.0,62,40,24.16,AU,1598495375
providencia,28.72,-111.58,91.99,62,0,8.01,MX,1598495376
klaksvik,62.23,-6.59,46.4,87,5,6.22,FO,1598495376
hirara,24.8,125.28,82.4,94,75,19.46,JP,1598495376
camacha,33.08,-16.33,73.4,73,20,3.36,PT,1598495376
pemangkat,1.17,108.97,82.33,72,45,2.37,ID,1598495377
norrtalje,59.76,18.7,55.99,79,0,4.81,SE,1598495377
arco,45.92,10.89,70.0,83,100,3.27,IT,1598495377
yatou,37.15,122.38,78.12,88,87,12.8,CN,1598495378
heihe,50.24,127.49,59.0,93,40,11.18,CN,1598495378
goderich,43.75,-81.72,69.01,86,62,14.23,CA,1598495378
port said,31.26,32.28,78.8,78,0,4.7,EG,1598495203
ionia,42.99,-85.07,79.0,57,1,10.29,US,1598495379
mantua,45.17,10.78,71.01,88,83,3.0,IT,1598495379
barra patuca,15.8,-84.28,77.65,85,100,11.48,HN,1598495379
houston,29.76,-95.36,84.2,78,1,11.41,US,1598495155
qinhuangdao,39.93,119.59,69.26,81,100,8.32,CN,1598495379
bam,29.11,58.36,79.45,21,65,13.29,IR,1598495380
grand gaube,-20.01,57.66,66.99,82,0,3.0,MU,1598495380
acobamba,-11.35,-75.66,52.83,64,69,1.88,PE,1598495380
itarema,-2.92,-39.92,77.31,85,10,13.51,BR,1598495380
batemans bay,-35.72,150.18,60.01,49,0,5.99,AU,1598495381
rura,26.48,79.9,85.3,72,92,6.11,IN,1598495381
meybod,32.25,54.02,73.4,23,40,6.93,IR,1598495381
pafos,34.77,32.42,73.4,73,90,4.7,CY,1598495381
balakhninskiy,58.01,114.28,61.57,47,0,3.62,RU,1598495382
keti bandar,24.14,67.45,83.37,83,97,7.96,PK,1598495382
sechura,-5.56,-80.82,62.92,76,58,13.96,PE,1598495382
shu,43.6,73.76,57.0,67,100,6.82,KZ,1598495383
peleduy,59.63,112.74,62.35,36,85,7.58,RU,1598495383
port hedland,-20.32,118.57,96.8,12,0,9.17,AU,1598495383
urumqi,43.8,87.6,66.2,52,99,6.71,CN,1598495383
wakkanai,45.41,141.67,75.2,88,75,10.29,JP,1598495384
ahuimanu,21.44,-157.84,87.8,62,20,11.41,US,1598495384
natal,-5.79,-35.21,77.0,73,20,11.41,BR,1598495384
xining,36.62,101.77,68.14,38,100,0.25,CN,1598495384
kisangani,0.52,25.2,70.59,96,99,2.28,CD,1598495384
kavaratti,10.57,72.64,81.93,73,100,12.46,IN,1598495385
kulhudhuffushi,6.62,73.07,82.38,73,100,11.97,MV,1598495385
ouadda,8.08,22.4,66.61,94,26,1.66,CF,1598495385
diamantino,-14.41,-56.45,80.69,41,0,4.65,BR,1598495385
arlit,18.74,7.39,84.49,51,80,5.19,NE,1598495386
homer,59.64,-151.55,55.99,76,75,5.82,US,1598495386
suleja,9.18,7.18,73.4,94,96,2.24,NG,1598495386
tocache,-8.18,-76.51,73.08,70,43,1.07,PE,1598495386
san ramon de la nueva oran,-23.13,-64.33,79.0,55,27,1.95,AR,1598495387
beloha,-25.17,45.05,68.52,70,46,6.82,MG,1598495387
kudahuvadhoo,2.67,72.89,83.66,68,100,9.78,MV,1598495387
asau,46.43,26.4,59.0,87,10,1.12,RO,1598495387
quang ngai,15.12,108.8,90.36,56,95,3.8,VN,1598495104
anloga,5.79,0.9,75.2,94,40,6.93,GH,1598495388
honningsvag,70.98,25.97,46.2,70,99,13.51,NO,1598495388
taman,45.21,36.72,60.8,93,20,8.95,RU,1598495388
havre-saint-pierre,50.23,-63.6,46.4,87,90,16.11,CA,1598495388
southbridge,42.08,-72.03,62.01,51,100,8.25,US,1598495389
kimbe,-5.55,150.14,88.07,64,17,5.66,PG,1598495389
nakusp,50.25,-117.8,70.45,39,97,2.48,CA,1598495390
amapa,1.0,-52.0,74.08,72,26,3.18,BR,1598495390
malatya,38.5,38.0,55.4,50,0,4.7,TR,1598495390
san quintin,30.48,-115.95,76.17,66,86,18.05,MX,1598495391
iracoubo,5.48,-53.2,80.02,83,64,6.8,GF,1598495391
paamiut,61.99,-49.67,43.41,76,81,1.66,GL,1598495391
adrar,20.5,-10.07,92.91,32,7,8.81,MR,1598495391
lubao,14.92,120.55,88.0,66,40,8.05,PH,1598495392
roald,62.58,6.13,51.01,81,8,6.93,NO,1598495392
dubovyy umet,52.98,50.29,64.4,59,12,4.47,RU,1598495392
northam,51.03,-4.22,55.0,95,100,4.0,GB,1598495392
gloucester,51.87,-2.24,55.0,91,100,4.25,GB,1598495393
flinders,-34.58,150.86,66.99,25,10,14.99,AU,1598495393
kempsey,-31.08,152.83,73.0,37,1,1.99,AU,1598495238
itoman,26.12,127.67,84.2,88,75,16.11,JP,1598495393
nyanguge,-2.55,33.2,71.33,61,1,8.48,TZ,1598495393
gazojak,41.19,61.4,66.22,34,0,8.39,TM,1598495394
muisne,0.6,-80.03,71.78,84,100,4.85,EC,1598495394
koster,-25.86,26.9,49.35,89,80,7.92,ZA,1598495394
saint anthony,45.02,-93.22,82.99,65,1,1.14,US,1598495394
muscat,23.61,58.59,82.4,94,14,2.24,OM,1598495286
mandurah,-32.55,115.7,68.0,59,0,1.12,AU,1598495395
pryozerne,45.27,36.33,69.75,76,14,4.38,UA,1598495395
cocachacra,-17.09,-71.76,60.39,82,100,4.72,PE,1598495396
kayankulam,9.18,76.5,78.8,83,100,7.2,IN,1598495396
aplahoue,6.93,1.68,70.9,95,97,4.63,BJ,1598495396
pontianak,-0.03,109.33,82.24,71,95,5.23,ID,1598495396
spydeberg,59.62,11.09,46.0,97,90,2.26,NO,1598495396
